pl_name,PC1,PC2,PC3,PC4,Cluster_K4,Familia_Planeta
TOI-1751 b,2.624479136481414,0.527297412251636,0.8913939000951637,-1.9401958989501835,0,Familia 0 (Población Intermedia)
TOI-1753 b,-0.5608390578561931,-0.266579706801638,-0.6203068832690514,-0.3218218275062703,3,Familia 3 (Población Mayoritaria)
TOI-1774.01,0.6929535097582322,-0.0049679665428966,-0.5894196229384455,-0.6598587609249262,1,Familia 1 (Población Secundaria)
TOI-1775 b,-0.0843764564376899,0.0177949814137979,-0.5260134598750829,0.6112972730610318,3,Familia 3 (Población Mayoritaria)
TOI-1776 b,-1.1803028114363217,-0.2797582129187911,-0.6776745747130768,-1.2739335753143628,3,Familia 3 (Población Mayoritaria)
HD 77946 b,0.3054538794116875,-1.0492310952392825,0.6615547473777589,-0.2031821392593434,1,Familia 1 (Población Secundaria)
TOI-1794 b,0.0663962030865345,-0.6555805181033463,-0.8026223619450074,-0.5611099630799569,1,Familia 1 (Población Secundaria)
TOI-1801 b,-0.7638830858815736,1.8128324469174588,-0.4906500773504599,-0.5145002699871636,3,Familia 3 (Población Mayoritaria)
TOI-1803 c,-0.0804750970677287,0.9932574278899134,-0.637514407333268,-0.0047973324661999,3,Familia 3 (Población Mayoritaria)
TOI-1803 b,-0.7710734774022147,0.6402956473818918,-0.5069482411463844,-0.0600834505514246,3,Familia 3 (Población Mayoritaria)
TOI-1806.01,-0.4546063923512917,2.3008428029062014,-0.0796328447114049,0.2307264993232744,3,Familia 3 (Población Mayoritaria)
TOI-1811 b,-0.7571154584406505,-0.4103467126633554,0.0734691486466749,1.2637364346558695,1,Familia 1 (Población Secundaria)
TOI-1820 b,-0.0357876139580138,-1.738748581835074,-0.2615002546607483,0.3435548746653468,1,Familia 1 (Población Secundaria)
TOI-1823 b,1.8147717473270415,1.070832227813303,-0.974478108836188,0.9453022071891148,0,Familia 0 (Población Intermedia)
