pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
TOI-2589 b,61.6277,0.3,12.10569916,1112.3994245,0.522,,592.0,5579.0,1.07,0.93,0.12,4.35
TOI-260 b,13.475853,0.0943,1.71,4.23,0.0,,493.0,4026.0,0.607,0.616,-0.47,4.45
TOI-261.01,3.3639254,0.034792189,3.0449863,,,874.7956,1722.49,5890.3,1.28018,0.496728,,3.92
TOI-262 b,11.14529,0.163,2.07,,,,584.0,5310.0,0.853,0.913,0.26,4.54
TOI-2641 b,4.880974,0.0607,18.10250383,122.6817651,0.18,602.0,1387.0,6100.0,1.336,1.16,-0.15,4.2
TOI-2669 b,6.2034,,19.72780603,193.87532827,0.09,,,4800.0,4.1,1.19,0.1,3.29
TOI-269 b,3.6977104,0.0345,2.77,8.8,0.425,19.0,531.0,3514.0,0.398,0.3917,-0.29,4.831
TOI-270 b,3.35992,,1.28,1.48,0.0167,,600.0,3506.0,0.38,0.386,,4.872
TOI-270 c,5.66051,,2.33,6.2,0.0044,,489.0,3506.0,0.38,0.386,,4.872
TOI-270 d,11.38194,,2.0,4.2,0.0066,,383.0,3506.0,0.38,0.386,,4.872
TOI-2714 b,2.499387,0.036,13.72,228.0,0.164,,1603.0,5665.0,1.25,1.07,0.3,4.25
TOI-2719 b,3.37594,,5.98,,,,1710.0,5762.0,1.69,1.02,0.27,4.22
TOI-2768 b,1.50801,0.027,2.63,,,,855.0,4008.0,0.657,0.63,,4.5
TOI-277 b,3.994,0.0269,2.65,,,,,4031.0,0.362,0.16,-0.01,4.58
TOI-2796 b,4.8084983,0.0569,17.26183028,139.84449908,0.0,352.0,1205.0,5764.0,1.069,1.063,0.239,4.4
TOI-2803 A b,1.96229325,0.03185,18.11371281,309.88269682,0.0,2150.0,1893.0,6280.0,1.245,1.118,-0.105,4.298
TOI-2818 b,4.039709,0.0493,15.27784069,225.65816897,0.0,598.0,1376.0,5721.0,1.229,0.977,-0.02,4.25
TOI-283 b,17.61745,0.123,2.34,6.54,0.0,30.4,661.0,5213.0,0.85,0.8,-0.09,4.5
TOI-2842 b,3.5514058,0.0475,12.84549188,117.59651059,0.0,781.8,1471.0,5910.0,1.265,1.135,0.233,4.288
TOI-286 b,4.5117244,0.0503,1.42,4.53,0.0,,979.0,5152.0,0.78,0.832,-0.05,4.59
TOI-286 c,39.361826,0.213,1.88,3.72,0.0,,475.0,5152.0,0.78,0.832,-0.05,4.59
TOI-2876 b,6.2996431,0.0654,9.6397234,54.03082919,0.13,124.2,929.0,5271.0,0.873,0.939,0.353,4.529
TOI-2886 b,1.60200105,0.02871,18.6405349,444.9597698,0.11,2560.0,1978.0,6240.0,1.241,1.229,0.284,4.34
TOI-2969 b,1.8237146,0.0261,12.32987877,368.68095212,0.0,382.0,1186.0,4738.0,0.7,0.71,0.08,4.56
TOI-2977 b,2.3505614,0.03386,13.15934334,533.95172376,0.0,947.8,1544.0,5691.0,1.073,0.936,0.013,4.35
TOI-2981 b,3.601501,0.048,13.4,638.0,0.035,,1358.0,5940.0,1.08,1.03,-0.11,4.28
TOI-2986 b,3.2783662,0.04489,9.292245,96.61983573,0.14,1156.0,1622.0,5906.0,1.458,1.122,0.095,4.165
TOI-2989 b,3.122832,0.0384,12.55405838,953.485221,0.0,124.0,1001.0,4672.0,0.76,0.77,-0.04,4.58
TOI-2992 b,3.007812,0.0434,13.75341932,1058.36859531,0.089,1484.0,1726.0,6000.0,1.545,1.21,0.084,4.139
TOI-3023 b,3.9014971,0.0505,16.43236571,197.05361234,0.0,1084.0,1596.0,5760.0,1.668,1.12,0.085,4.048
TOI-3071 b,1.266938,0.0249,7.16,68.2,0.09,,2155.0,6177.0,1.31,1.29,0.35,4.37
TOI-3082 b,1.926907,,3.6621,,,,1032.78,4263.0,0.6847,0.664,0.17,4.625
TOI-3135 b,3.7065585,0.04756,13.65253849,327.36325921,0.24,464.0,1292.0,5890.0,0.985,1.044,0.071,4.469
TOI-3160 A b,3.971281,0.0505,13.7646283,378.21580433,0.18,933.0,1539.0,6190.0,1.346,1.088,-0.114,4.217
TOI-3235 b,2.59261842,0.02709,11.39953337,211.35589065,0.029,,604.0,3388.8,0.3697,0.3939,0.264,4.8976
