pl_name,PC1,PC2,PC3,PC4
HD 152843 b,0.553389492125719,-0.6943942984314165,-0.7003900619773133,-1.2469048816608181
HD 152843 c,1.298209691827777,-0.47511027421236945,-0.6299681214489029,-1.123410816837034
HD 15337 b,-0.6855323528432334,0.09035180371697357,-0.27911903269862565,-0.32879402115443823
HD 15337 c,0.46774766626940883,0.6908560568894065,-0.1976155792465279,-0.25088397870838725
HD 15906 b,-0.027653659088123506,0.7458974364158364,-0.01629945447185849,-0.29266317318268575
HD 15906 c,0.7212301652432819,1.0586000276803609,-0.5822261748765476,-0.06696347269942522
HD 183579 b,0.7845695999172487,0.3000974776569397,-0.49083765551402436,-0.40873698822871635
HD 18599 b,-0.44448154121342953,0.02513397674540805,1.6034560313679052,-0.5481561994443467
HD 191939 b,-0.13485573379252702,0.08091462540987263,-0.5728268792519742,-0.8767159551902236
HD 191939 c,1.3352667615618625,0.8187828949801769,-0.8679512993951071,-0.795491473898783
HD 191939 d,1.8056718519030897,1.0923919108656654,-1.045413380606592,-0.8347847165378013
HD 202772 A b,0.1717139546126614,-3.811089348349022,-0.48525349070431956,0.016922282236674514
HD 20329 b,-1.6427653114986658,-1.355638199842246,-0.6754224447491702,-0.8981027385693813
HD 207496 b,-0.32664334269912615,0.42984442844395815,0.8695252287048795,-0.1920969601708714
HD 207897 b,0.2921225284511325,0.9018426590102491,-0.7645862233550939,-0.19598490703482824
HD 213885 b,-1.5045173820127358,-1.5204991155276526,-0.6877791053008646,-0.8421334335545358
HD 21520 b,1.3290627443624135,0.3526383262672785,-1.01434498249552,-0.1276959013911531
HD 21749 c,-0.41262384903287436,0.9670893139384414,0.5469003292940076,-0.4605429864186906
HD 219666 b,-0.3082578845310958,-0.5837109649986928,-0.3158739699352541,-0.1575216625620627
HD 221416 b,1.4840793793370786,-2.3019251515640877,-0.34160123513332036,-1.2711170292182834
HD 22946 d,2.9361220981907716,0.9518087676758541,-0.9775179607525363,-0.46652403583634494
HD 23472 b,0.30294486967204903,1.3368849419332558,-0.3635118939733891,-0.8234846112351035
HD 23472 c,0.9796828825431108,1.6994763733238238,-0.6141015355560328,-0.8362040674091595
HD 23472 d,-1.1597548839595722,0.7697910666153084,-0.25681491975997034,-1.1752918456006323
HD 23472 e,-0.6310390352593018,1.0897745113153938,-0.3271482566190804,-1.123499042554113
HD 23472 f,-0.20781219592814726,1.2817753107758625,-0.389227712645115,-1.0620337616129045
HD 235088 b,-0.5592014468902639,0.4820463877133147,-0.6804352752834466,-0.3571980566587105
HD 25463 b,-0.004437770857945351,-1.0831405455765832,-0.8673846567341212,-0.8102573093674851
HD 25463 c,-0.7074169572569561,-1.4398476603911512,-0.8318350627874556,-0.9995596960093248
HD 260655 b,-1.9586678033332146,2.24983426836205,-0.19465643395919963,-1.1206883324381334
HD 260655 c,-1.5037071535511257,2.506615164625835,-0.2376204749612752,-1.0486389640055127
HD 2685 b,0.013678318086788752,-2.573088398039526,-0.06723791562937101,-0.37580083423267086
HD 28109 b,1.2877225704534612,-0.4715875124396959,-1.0506656059198918,-0.34499936777208723
HD 28109 c,2.7866772971720946,0.08320372802433419,-1.3648303507498731,-0.1280141882701607
HD 28109 d,3.1073492763441988,0.3829940307865813,-1.4347039059289832,-0.1835880421153844
HD 332231 b,1.1758168237103601,-0.5444150717297276,-0.8662305042236984,-0.03269813656320228
HD 35843 c,2.4301508932837135,1.436994332615124,-0.36233522462984663,-1.1575224508425335
HD 5278 b,0.621108376928607,-0.00906200311603908,-0.46269230561048424,-0.9295548329555408
HD 56414 b,3.8142713001613022,-1.5982036117666627,2.9322644648403013,-1.416413351422447
HD 6061 b,-0.5570458533737276,-0.3666580202678331,-0.7062509238295765,-0.6141478133623839
HD 63433 b,-0.4628690368917821,0.03732701861722759,-0.29904765117565235,-0.5565797380350145
HD 63433 c,0.8509046324561818,0.696633072433059,-0.33003550869964643,-0.48861284423137324
HD 63433 d,-0.6173525486788721,-0.14929241318209804,0.3613421079081811,-0.5433006009861981
HD 63935 b,-0.1340608051627528,-0.005711393689047443,-0.6842054703392793,0.021188716768145318
HD 73583 b,-0.6674860006113843,0.7916204273781894,0.04744777140677965,-0.1228067036700927
HD 73583 c,0.4142022370157114,1.3766363187517614,-0.23488062737014276,-0.06555372263939917
HD 77946 b,0.20598027008305764,-1.036539928164212,0.5938138547529941,-0.17143688065918178
HD 86226 c,-0.6612417327590258,-0.6236252909015924,-0.2128954702225521,-0.5760140692476736
HD 93963 A b,-1.5313397164971387,-1.2492166402558509,-0.644895281499696,-0.3722147517729567
HD 93963 A c,-0.7615010666416517,-0.804164944360726,-0.5894930725987683,-0.05374559700019731
HIP 113103 b,-0.3684014329817432,0.8160702527488632,0.42543892022173047,-0.6871321769737668
HIP 113103 c,0.28214837149171457,1.0765931200825196,0.33117502689974365,-0.584864659439414
HIP 65 A b,-1.5007161622171727,-0.9551447665572758,-0.05640989135236953,1.1651685879384943
HIP 67522 b,0.2186550731312549,-1.5223932023469482,-0.12480585670783964,0.5085313184194
HIP 67522 c,0.9859449339688359,-0.8637318605684985,-0.2669397621179722,0.10682587342929595
HIP 8152 b,0.024334209240063947,0.16601235188951668,-0.765525186394149,-0.328787917929257
HIP 8152 c,1.0550140108976516,0.5433171129437622,0.35055842256017195,-0.48137389896364435
HIP 94235 b,0.41457245136148946,-0.5750854233843348,1.4047631383901042,-0.48510315884989785
